t_lo,t_hi,delta,pair_Q_lowerbound,threshold_L2d2_over_8,certified_margin
26.46875,26.625,0.15625,1.477240e-01,4.238859e-02,1.053354e-01
26.625,26.78125,0.15625,8.704856e-02,4.238859e-02,4.465997e-02
26.78125,26.9375,0.15625,4.885380e-02,4.238859e-02,6.465218e-03
28.5,28.65625,0.15625,4.918726e-02,4.238859e-02,6.798676e-03
28.65625,28.8125,0.15625,8.759465e-02,4.238859e-02,4.520607e-02
28.8125,28.96875,0.15625,1.485686e-01,4.238859e-02,1.061800e-01
28.96875,29.125,0.15625,2.399751e-01,4.238859e-02,1.975866e-01
29.125,29.28125,0.15625,3.691429e-01,4.238859e-02,3.267543e-01
29.28125,29.4375,0.15625,5.407720e-01,4.238859e-02,4.983834e-01
29.4375,29.59375,0.15625,7.544451e-01,4.238859e-02,7.120565e-01
29.59375,29.75,0.15625,1.002392e+00,4.238859e-02,9.600033e-01
29.75,29.90625,0.15625,1.268378e+00,4.238859e-02,1.225989e+00
29.90625,30.0625,0.15625,1.528519e+00,4.238859e-02,1.486130e+00
30.0625,30.21875,0.15625,1.754386e+00,4.238859e-02,1.711997e+00
30.21875,30.375,0.15625,1.918037e+00,4.238859e-02,1.875649e+00
30.375,30.53125,0.15625,1.983669e+00,4.238859e-02,1.941280e+00
30.53125,30.6875,0.15625,1.879490e+00,4.238859e-02,1.837101e+00
30.6875,30.84375,0.15625,1.703346e+00,4.238859e-02,1.660957e+00
30.84375,31,0.15625,1.484025e+00,4.238859e-02,1.441636e+00
31,31.15625,0.15625,1.255929e+00,4.238859e-02,1.213541e+00
31.15625,31.3125,0.15625,1.053371e+00,4.238859e-02,1.010982e+00
31.3125,31.46875,0.15625,9.055892e-01,4.238859e-02,8.632006e-01
31.46875,31.625,0.15625,8.331723e-01,4.238859e-02,7.907837e-01
31.625,31.78125,0.15625,8.331723e-01,4.238859e-02,7.907837e-01
31.78125,31.9375,0.15625,8.459755e-01,4.238859e-02,8.035869e-01
31.9375,32.09375,0.15625,9.422677e-01,4.238859e-02,8.998791e-01
32.09375,32.25,0.15625,1.108874e+00,4.238859e-02,1.066485e+00
32.25,32.40625,0.15625,1.322361e+00,4.238859e-02,1.279973e+00
32.40625,32.5625,0.15625,1.551544e+00,4.238859e-02,1.509156e+00
32.5625,32.71875,0.15625,1.761512e+00,4.238859e-02,1.719124e+00
32.71875,32.875,0.15625,1.918930e+00,4.238859e-02,1.876541e+00
32.875,33.03125,0.15625,1.983808e+00,4.238859e-02,1.941419e+00
33.03125,33.1875,0.15625,1.877479e+00,4.238859e-02,1.835090e+00
33.1875,33.34375,0.15625,1.692738e+00,4.238859e-02,1.650349e+00
33.34375,33.5,0.15625,1.453666e+00,4.238859e-02,1.411277e+00
33.5,33.65625,0.15625,1.188950e+00,4.238859e-02,1.146561e+00
33.65625,33.8125,0.15625,9.261265e-01,4.238859e-02,8.837379e-01
33.8125,33.96875,0.15625,6.870339e-01,4.238859e-02,6.446453e-01
33.96875,34.125,0.15625,4.853871e-01,4.238859e-02,4.429985e-01
34.125,34.28125,0.15625,3.266024e-01,4.238859e-02,2.842138e-01
34.28125,34.4375,0.15625,2.093441e-01,4.238859e-02,1.669556e-01
34.4375,34.59375,0.15625,1.279387e-01,4.238859e-02,8.555015e-02
34.59375,34.75,0.15625,7.483623e-02,4.238859e-02,3.244764e-02
34.75,34.90625,0.15625,4.257601e-02,4.238859e-02,1.874212e-04
35.6875,35.84375,0.15625,5.538541e-02,4.238859e-02,1.299683e-02
35.84375,36,0.15625,9.645543e-02,4.238859e-02,5.406685e-02
36,36.15625,0.15625,1.617212e-01,4.238859e-02,1.193326e-01
36.15625,36.3125,0.15625,2.588859e-01,4.238859e-02,2.164973e-01
36.3125,36.46875,0.15625,3.949117e-01,4.238859e-02,3.525231e-01
36.46875,36.625,0.15625,5.737778e-01,4.238859e-02,5.313892e-01
36.625,36.78125,0.15625,7.939514e-01,4.238859e-02,7.515628e-01
36.78125,36.9375,0.15625,1.046262e+00,4.238859e-02,1.003873e+00
36.9375,37.09375,0.15625,1.313049e+00,4.238859e-02,1.270661e+00
37.09375,37.25,0.15625,1.569335e+00,4.238859e-02,1.526947e+00
37.25,37.40625,0.15625,1.786260e+00,4.238859e-02,1.743872e+00
37.40625,37.5625,0.15625,1.936282e+00,4.238859e-02,1.893893e+00
37.5625,37.71875,0.15625,1.965212e+00,4.238859e-02,1.922823e+00
37.71875,37.875,0.15625,1.840106e+00,4.238859e-02,1.797718e+00
37.875,38.03125,0.15625,1.641057e+00,4.238859e-02,1.598668e+00
38.03125,38.1875,0.15625,1.394275e+00,4.238859e-02,1.351886e+00
38.1875,38.34375,0.15625,1.129255e+00,4.238859e-02,1.086866e+00
38.34375,38.5,0.15625,8.734307e-01,4.238859e-02,8.310421e-01
38.5,38.65625,0.15625,6.483645e-01,4.238859e-02,6.059759e-01
38.65625,38.8125,0.15625,4.682055e-01,4.238859e-02,4.258169e-01
38.8125,38.96875,0.15625,3.403349e-01,4.238859e-02,2.979463e-01
38.96875,39.125,0.15625,2.674411e-01,4.238859e-02,2.250525e-01
39.125,39.28125,0.15625,2.499596e-01,4.238859e-02,2.075710e-01
39.28125,39.4375,0.15625,2.499596e-01,4.238859e-02,2.075710e-01
39.4375,39.59375,0.15625,2.878653e-01,4.238859e-02,2.454768e-01
39.59375,39.75,0.15625,3.811491e-01,4.238859e-02,3.387605e-01
39.75,39.90625,0.15625,5.288082e-01,4.238859e-02,4.864196e-01
39.90625,40.0625,0.15625,7.267172e-01,4.238859e-02,6.843286e-01
40.0625,40.21875,0.15625,9.651991e-01,4.238859e-02,9.228106e-01
40.21875,40.375,0.15625,1.227372e+00,4.238859e-02,1.184984e+00
40.375,40.53125,0.15625,1.489275e+00,4.238859e-02,1.446887e+00
40.53125,40.6875,0.15625,1.722321e+00,4.238859e-02,1.679932e+00
40.6875,40.84375,0.15625,1.897885e+00,4.238859e-02,1.855497e+00
40.84375,41,0.15625,1.993020e+00,4.238859e-02,1.950631e+00
